,licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code,group,address,long_lat
0,S02185J000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,982,1,1,BUANGKOK CRESCENT,530982,1,982 BUANGKOK CRESCENT,"Giant, 982, Buangkok Crescent, Buangkok, Northeast, 530982, Singapore"
1,S97166P000,COLD STORAGE SINGAPORE (1983) PTE LTD,HOUGANG GREEN SHOPPING MALL,21,1,52,HOUGANG STREET 51,538719,1,21 HOUGANG STREET 51,"UOB, 21, Hougang Street 51, Hougang, Northeast, 538719, Singapore"
2,CE15B61K000,U STARS SUPERMARKET PTE. LTD.,na,330,1,1,ANCHORVALE STREET,540330,-1,330 ANCHORVALE STREET,"UStars, 330, Anchorvale Street, Sengkang, Northeast, 540330, Singapore"
3,S02029J000,NTUC Fairprice Co-operative Ltd,HOUGANG POINT,1,2,1,HOUGANG STREET 91,538692,0,1 HOUGANG STREET 91,"UOB, 1, Hougang Street 91, Hougang, Northeast, 538692, Singapore"
4,CE04561V000,SHENG SIONG SUPERMARKET PTE LTD,na,19,1,42401,SERANGOON NORTH AVENUE 5,554913,2,19 SERANGOON NORTH AVENUE 5,"UOB, 19, Serangoon North Avenue 5, Serangoon North, Seletar Hills, Central, 554913, Singapore"
5,CE14L50J000,NTUC Fairprice Co-operative Ltd,THE SELETAR MALL,33,B2,24,SENGKANG WEST AVENUE,797653,0,33 SENGKANG WEST AVENUE,"UOB, 33, Sengkang West Avenue, Fernvale, Central, 797653, Singapore"
6,CE12H94B000,PRIME SUPERMARKET (1996) PTE LTD,MUTLI STOREY CAR PARK,542B,2,1,SERANGOON NORTH AVENUE 3,552542,4,542B SERANGOON NORTH AVENUE 3,"Serangoon North Avenue 3, Serangoon North, Seletar Hills, Central, 550535, Singapore"
7,CE16913J000,SHENG SIONG SUPERMARKET PTE LTD,FERNVALE RIVERGROVE,473,1,6,FERNVALE STREET,790473,2,473 FERNVALE STREET,"473, Fernvale Street, Seletar, Fernvale, Central, 790473, Singapore"
8,CE15042P000,D-RON INVESTMENTS PTE. LTD.,PPT LODGE 1B,2,1,38,SELETAR NORTH LINK,797601,-1,2 SELETAR NORTH LINK,"Seletar North Link, Seletar, Singapore, Central, 821415, Singapore"
9,CE15023A000,GW TRADER PTE. LTD.,PPT LODGE 1A,8,G1,3,SELETAR NORTH LINK,797455,-1,8 SELETAR NORTH LINK,"Seletar North Link, Seletar, Singapore, Central, 821415, Singapore"
10,CE11N78X000,HONG AIK PTE LTD,na,19,na,0,SELETAR WEST FARMWAY 6,798049,-1,19 SELETAR WEST FARMWAY 6,"Seletar West Farmway 6, Seletar, Seletar Hills, Central, 799330, Singapore"
11,NE11909C000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,683,1,903,HOUGANG AVENUE 8,530683,1,683 HOUGANG AVENUE 8,"UOB, 683, Hougang Avenue 8, Hougang, Northeast, 530683, Singapore"
12,S02027L000,NTUC Fairprice Co-operative Ltd,na,682,1,310,HOUGANG AVENUE 4,530682,0,682 HOUGANG AVENUE 4,"NTUC Fairprice, 682, Hougang Avenue 4, Hougang, Northeast, 530682, Singapore"
13,CE13R25C000,NTUC Fairprice Co-operative Ltd,na,447A,1,2,JALAN KAYU,791447,0,447A JALAN KAYU,"UOB, 447A, Jalan Kayu, Fernvale, Central, 791447, Singapore"
14,CE13S05E000,LABIBA ENTERPRISE PTE. LTD.,na,249,na,0,JALAN KAYU,799473,-1,249 JALAN KAYU,"249, Jalan Kayu, Seletar, Fernvale, Central, 799442, Singapore"
15,S93171X000,ANG MO SUPERMARKET PTE LTD,na,642,1,197,HOUGANG AVENUE 8,530642,-1,642 HOUGANG AVENUE 8,"642, Hougang Avenue 8, Hougang, Northeast, 530644, Singapore"
